model,query,run,rows,latency
llama-3.3-70b-versatile,Which diseases are associated with BRAF?,1,5,0.8992686066776514
llama-3.3-70b-versatile,Which diseases are associated with BRAF?,2,4,0.43740234710276127
llama-3.3-70b-versatile,Which diseases are associated with BRAF?,3,5,0.5171009674668312
llama-3.3-70b-versatile,Which diseases are associated with BRAF?,4,4,0.4020490441471338
llama-3.3-70b-versatile,Which diseases are associated with BRAF?,5,4,0.4236084297299385
llama-3.3-70b-versatile,Which genes are associated with amyotrophic lateral sclerosis?,1,13,0.5950123779475689
llama-3.3-70b-versatile,Which genes are associated with amyotrophic lateral sclerosis?,2,35,1.1613413412123919
llama-3.3-70b-versatile,Which genes are associated with amyotrophic lateral sclerosis?,3,12,0.5870462954044342
llama-3.3-70b-versatile,Which genes are associated with amyotrophic lateral sclerosis?,4,21,0.8604291044175625
llama-3.3-70b-versatile,Which genes are associated with amyotrophic lateral sclerosis?,5,18,0.8248644378036261
llama-3.3-70b-versatile,Which diseases are associated with CDK4?,1,3,0.41063846834003925
llama-3.3-70b-versatile,Which diseases are associated with CDK4?,2,3,0.37639023549854755
llama-3.3-70b-versatile,Which diseases are associated with CDK4?,3,3,0.49766407907009125
llama-3.3-70b-versatile,Which diseases are associated with CDK4?,4,4,0.38533862866461277
llama-3.3-70b-versatile,Which diseases are associated with CDK4?,5,3,0.38359286077320576
llama-3.3-70b-versatile,Which pathways are associated with the JAK2 gene?,1,4,0.4222119078040123
llama-3.3-70b-versatile,Which pathways are associated with the JAK2 gene?,2,4,0.5664926655590534
llama-3.3-70b-versatile,Which pathways are associated with the JAK2 gene?,3,5,0.4246682096272707
llama-3.3-70b-versatile,Which pathways are associated with the JAK2 gene?,4,6,0.4695316441357136
llama-3.3-70b-versatile,Which pathways are associated with the JAK2 gene?,5,3,0.3924944866448641
llama-3.3-70b-versatile,Which drugs are used to treat rheumatoid arthritis?,1,10,0.6509012635797262
llama-3.3-70b-versatile,Which drugs are used to treat rheumatoid arthritis?,2,10,0.5462176483124495
llama-3.3-70b-versatile,Which drugs are used to treat rheumatoid arthritis?,3,10,0.5317045617848635
llama-3.3-70b-versatile,Which drugs are used to treat rheumatoid arthritis?,4,10,0.5333386622369289
llama-3.3-70b-versatile,Which drugs are used to treat rheumatoid arthritis?,5,10,0.5545164160430431
llama-3.3-70b-versatile,Which genes are associated with ovarian cancer?,1,6,0.40612480230629444
llama-3.3-70b-versatile,Which genes are associated with ovarian cancer?,2,10,0.5174138136208057
llama-3.3-70b-versatile,Which genes are associated with ovarian cancer?,3,5,0.5091825760900974
llama-3.3-70b-versatile,Which genes are associated with ovarian cancer?,4,8,0.4263764824718237
llama-3.3-70b-versatile,Which genes are associated with ovarian cancer?,5,7,0.39357081800699234
llama-3.3-70b-versatile,What are the known targets of regorafenib?,1,6,0.41772568598389626
llama-3.3-70b-versatile,What are the known targets of regorafenib?,2,10,0.5481188613921404
llama-3.3-70b-versatile,What are the known targets of regorafenib?,3,10,0.5249150544404984
llama-3.3-70b-versatile,What are the known targets of regorafenib?,4,7,0.4659519884735346
llama-3.3-70b-versatile,What are the known targets of regorafenib?,5,13,0.576658459380269
llama-3.3-70b-versatile,Which pathways are associated with the STAT3 gene?,1,5,0.40320586040616035
llama-3.3-70b-versatile,Which pathways are associated with the STAT3 gene?,2,5,0.44417167268693447
llama-3.3-70b-versatile,Which pathways are associated with the STAT3 gene?,3,5,0.3839144576340914
llama-3.3-70b-versatile,Which pathways are associated with the STAT3 gene?,4,5,0.4212180245667696
llama-3.3-70b-versatile,Which pathways are associated with the STAT3 gene?,5,5,0.38831865042448044
llama-3.3-70b-versatile,Which genes are associated with fever (pyrexia)?,1,4,0.32728695310652256
llama-3.3-70b-versatile,Which genes are associated with fever (pyrexia)?,2,3,0.40961635671555996
llama-3.3-70b-versatile,Which genes are associated with fever (pyrexia)?,3,6,0.40439334511756897
llama-3.3-70b-versatile,Which genes are associated with fever (pyrexia)?,4,6,0.3991398811340332
llama-3.3-70b-versatile,Which genes are associated with fever (pyrexia)?,5,4,0.4757007136940956
llama-3.3-70b-versatile,Which diseases are treated with bevacizumab?,1,6,0.41908798180520535
llama-3.3-70b-versatile,Which diseases are treated with bevacizumab?,2,7,0.4310305304825306
llama-3.3-70b-versatile,Which diseases are treated with bevacizumab?,3,7,0.4485994316637516
llama-3.3-70b-versatile,Which diseases are treated with bevacizumab?,4,7,0.42150681279599667
llama-3.3-70b-versatile,Which diseases are treated with bevacizumab?,5,7,0.4148916006088257
llama-3.3-70b-versatile,What are the known targets of cabozantinib?,1,7,0.5241524484008551
llama-3.3-70b-versatile,What are the known targets of cabozantinib?,2,6,0.5296970698982477
llama-3.3-70b-versatile,What are the known targets of cabozantinib?,3,6,0.5021942667663097
llama-3.3-70b-versatile,What are the known targets of cabozantinib?,4,6,0.4791226405650377
llama-3.3-70b-versatile,What are the known targets of cabozantinib?,5,6,0.4796530660241842
llama-3.3-70b-versatile,Which pathways are associated with the TNF gene?,1,5,0.4234549645334482
llama-3.3-70b-versatile,Which pathways are associated with the TNF gene?,2,5,0.47941711358726025
llama-3.3-70b-versatile,Which pathways are associated with the TNF gene?,3,5,0.48522178269922733
llama-3.3-70b-versatile,Which pathways are associated with the TNF gene?,4,5,0.45478183031082153
llama-3.3-70b-versatile,Which pathways are associated with the TNF gene?,5,5,0.4772635232657194
llama-3.3-70b-versatile,Which diseases are associated with the NPM1 gene?,1,5,0.45442780293524265
llama-3.3-70b-versatile,Which diseases are associated with the NPM1 gene?,2,3,0.3868642281740904
llama-3.3-70b-versatile,Which diseases are associated with the NPM1 gene?,3,3,0.3848687093704939
llama-3.3-70b-versatile,Which diseases are associated with the NPM1 gene?,4,3,0.39944608323276043
llama-3.3-70b-versatile,Which diseases are associated with the NPM1 gene?,5,5,0.4300996009260416
llama-3.3-70b-versatile,Which pathways are associated with the CD19 gene?,1,5,0.5122577752918005
llama-3.3-70b-versatile,Which pathways are associated with the CD19 gene?,2,4,0.4647821635007858
llama-3.3-70b-versatile,Which pathways are associated with the CD19 gene?,3,4,0.39604466408491135
llama-3.3-70b-versatile,Which pathways are associated with the CD19 gene?,4,3,0.3779941573739052
llama-3.3-70b-versatile,Which pathways are associated with the CD19 gene?,5,5,0.4906842354685068
llama-3.3-70b-versatile,Which drugs are used to treat migraine?,1,5,0.42514220252633095
llama-3.3-70b-versatile,Which drugs are used to treat migraine?,2,5,0.4795201476663351
llama-3.3-70b-versatile,Which drugs are used to treat migraine?,3,5,0.4009428136050701
llama-3.3-70b-versatile,Which drugs are used to treat migraine?,4,15,0.6083232779055834
llama-3.3-70b-versatile,Which drugs are used to treat migraine?,5,8,0.4261128958314657
llama-3.3-70b-versatile,Which genes are associated with epilepsy?,1,7,0.49476187117397785
llama-3.3-70b-versatile,Which genes are associated with epilepsy?,2,10,0.47830233350396156
llama-3.3-70b-versatile,Which genes are associated with epilepsy?,3,6,0.3993422333151102
llama-3.3-70b-versatile,Which genes are associated with epilepsy?,4,10,0.5122993048280478
llama-3.3-70b-versatile,Which genes are associated with epilepsy?,5,10,0.5282194893807173
llama-3.3-70b-versatile,Which diseases are treated with trastuzumab deruxtecan?,1,2,0.39406280033290386
llama-3.3-70b-versatile,Which diseases are treated with trastuzumab deruxtecan?,2,2,0.39168077148497105
llama-3.3-70b-versatile,Which diseases are treated with trastuzumab deruxtecan?,3,2,0.44654939882457256
llama-3.3-70b-versatile,Which diseases are treated with trastuzumab deruxtecan?,4,2,0.3555988110601902
llama-3.3-70b-versatile,Which diseases are treated with trastuzumab deruxtecan?,5,2,0.3708479627966881
llama-3.3-70b-versatile,Which genes are associated with Alzheimer’s disease?,1,7,0.390437476336956
llama-3.3-70b-versatile,Which genes are associated with Alzheimer’s disease?,2,10,0.4674889985471964
llama-3.3-70b-versatile,Which genes are associated with Alzheimer’s disease?,3,7,0.3880519438534975
llama-3.3-70b-versatile,Which genes are associated with Alzheimer’s disease?,4,5,0.38764173351228237
llama-3.3-70b-versatile,Which genes are associated with Alzheimer’s disease?,5,14,0.6052104514092207
llama-3.3-70b-versatile,For which diseases is darolutamide used?,1,1,0.381997374817729
llama-3.3-70b-versatile,For which diseases is darolutamide used?,2,1,0.3792097792029381
llama-3.3-70b-versatile,For which diseases is darolutamide used?,3,1,0.32840910740196705
llama-3.3-70b-versatile,For which diseases is darolutamide used?,4,1,0.33359416387975216
llama-3.3-70b-versatile,For which diseases is darolutamide used?,5,1,0.3745988756418228
llama-3.3-70b-versatile,Which genes are associated with renal cell carcinoma?,1,6,0.4634973183274269
llama-3.3-70b-versatile,Which genes are associated with renal cell carcinoma?,2,5,0.4497514422982931
llama-3.3-70b-versatile,Which genes are associated with renal cell carcinoma?,3,13,0.537979818880558
llama-3.3-70b-versatile,Which genes are associated with renal cell carcinoma?,4,8,0.46396563202142715
llama-3.3-70b-versatile,Which genes are associated with renal cell carcinoma?,5,8,0.573001503944397
llama-3.3-70b-versatile,Which diseases are associated with the KRAS gene?,1,3,0.4011883679777384
llama-3.3-70b-versatile,Which diseases are associated with the KRAS gene?,2,3,0.38099280931055546
llama-3.3-70b-versatile,Which diseases are associated with the KRAS gene?,3,3,0.3709710482507944
llama-3.3-70b-versatile,Which diseases are associated with the KRAS gene?,4,3,0.45725436694920063
llama-3.3-70b-versatile,Which diseases are associated with the KRAS gene?,5,3,0.36686766520142555
llama-3.3-70b-versatile,Which pathways are associated with the APP gene?,1,4,0.3930782526731491
llama-3.3-70b-versatile,Which pathways are associated with the APP gene?,2,4,0.5887305252254009
llama-3.3-70b-versatile,Which pathways are associated with the APP gene?,3,4,0.4631225559860468
llama-3.3-70b-versatile,Which pathways are associated with the APP gene?,4,6,0.4677480161190033
llama-3.3-70b-versatile,Which pathways are associated with the APP gene?,5,5,0.46390948072075844
llama-3.3-70b-versatile,Which genes are associated with schizophrenia?,1,10,0.4666082039475441
llama-3.3-70b-versatile,Which genes are associated with schizophrenia?,2,5,0.37327295541763306
llama-3.3-70b-versatile,Which genes are associated with schizophrenia?,3,8,0.4763732682913542
llama-3.3-70b-versatile,Which genes are associated with schizophrenia?,4,5,0.35294582694768906
llama-3.3-70b-versatile,Which genes are associated with schizophrenia?,5,5,0.4295644871890545
llama-3.3-70b-versatile,Which diseases are treated with valdecoxib?,1,4,0.4049267843365669
llama-3.3-70b-versatile,Which diseases are treated with valdecoxib?,2,4,0.3965626209974289
llama-3.3-70b-versatile,Which diseases are treated with valdecoxib?,3,4,0.5200615227222443
llama-3.3-70b-versatile,Which diseases are treated with valdecoxib?,4,4,0.47237420082092285
llama-3.3-70b-versatile,Which diseases are treated with valdecoxib?,5,4,0.46022417210042477
llama-3.3-70b-versatile,What are the known targets of vandetanib?,1,4,0.42909966595470905
llama-3.3-70b-versatile,What are the known targets of vandetanib?,2,5,0.4303790368139744
llama-3.3-70b-versatile,What are the known targets of vandetanib?,3,5,0.446062620729208
llama-3.3-70b-versatile,What are the known targets of vandetanib?,4,6,0.4359928146004677
llama-3.3-70b-versatile,What are the known targets of vandetanib?,5,3,0.3793979249894619
llama-3.3-70b-versatile,Which pathways are associated with the CFTR gene?,1,9,0.5324178878217936
llama-3.3-70b-versatile,Which pathways are associated with the CFTR gene?,2,11,0.5703433398157358
llama-3.3-70b-versatile,Which pathways are associated with the CFTR gene?,3,8,0.4812843557447195
llama-3.3-70b-versatile,Which pathways are associated with the CFTR gene?,4,4,0.43340159580111504
llama-3.3-70b-versatile,Which pathways are associated with the CFTR gene?,5,11,0.6422148998826742
llama-3.3-70b-versatile,Which drugs are used to treat tuberculosis?,1,4,0.3874719198793173
llama-3.3-70b-versatile,Which drugs are used to treat tuberculosis?,2,5,0.39349635131657124
llama-3.3-70b-versatile,Which drugs are used to treat tuberculosis?,3,5,0.45893322490155697
llama-3.3-70b-versatile,Which drugs are used to treat tuberculosis?,4,5,0.3882536869496107
llama-3.3-70b-versatile,Which drugs are used to treat tuberculosis?,5,5,0.38479243218898773
llama-3.3-70b-versatile,Which drugs are used to treat pancreatic adenocarcinoma?,1,6,0.4730031993240118
llama-3.3-70b-versatile,Which drugs are used to treat pancreatic adenocarcinoma?,2,5,0.43920077197253704
llama-3.3-70b-versatile,Which drugs are used to treat pancreatic adenocarcinoma?,3,5,0.3908520694822073
llama-3.3-70b-versatile,Which drugs are used to treat pancreatic adenocarcinoma?,4,5,0.42208939231932163
llama-3.3-70b-versatile,Which drugs are used to treat pancreatic adenocarcinoma?,5,6,0.42340252734720707
