method,drug,metric,value
BC-FuzzyEq,omeprazole,precision,1.0
BC-FuzzyEq,omeprazole,recall,0.1111111111111111
BC-FuzzyEq,omeprazole,f1,0.19999999999999998
BC-FuzzyEq,omeprazole,accuracy,0.9705882352941176
BC-FuzzyEq,omeprazole,specificity,1.0
BC-FuzzyEq,omeprazole,kappa,0.19467061435973335
BC-Curated,omeprazole,precision,1.0
BC-Curated,omeprazole,recall,1.0
BC-Curated,omeprazole,f1,1.0
BC-Curated,omeprazole,accuracy,1.0
BC-Curated,omeprazole,specificity,1.0
BC-Curated,omeprazole,kappa,1.0
BC-EmbedEq,omeprazole,precision,1.0
BC-EmbedEq,omeprazole,recall,0.3888888888888889
BC-EmbedEq,omeprazole,f1,0.56
BC-EmbedEq,omeprazole,accuracy,0.9797794117647058
BC-EmbedEq,omeprazole,specificity,1.0
BC-EmbedEq,omeprazole,kappa,0.5516931375486952
BC-Final,omeprazole,precision,1.0
BC-Final,omeprazole,recall,1.0
BC-Final,omeprazole,f1,1.0
BC-Final,omeprazole,accuracy,1.0
BC-Final,omeprazole,specificity,1.0
BC-Final,omeprazole,kappa,1.0
gpt,omeprazole,precision,1.0
gpt,omeprazole,recall,0.2777777777777778
gpt,omeprazole,f1,0.4347826086956522
gpt,omeprazole,accuracy,0.9761029411764706
gpt,omeprazole,specificity,1.0
gpt,omeprazole,kappa,0.42653259811871425
grok,omeprazole,precision,0.9285714285714286
grok,omeprazole,recall,0.7222222222222222
grok,omeprazole,f1,0.8125000000000001
grok,omeprazole,accuracy,0.9889705882352942
grok,omeprazole,specificity,0.9980988593155894
grok,omeprazole,kappa,0.8069096071935644
gemini,omeprazole,precision,1.0
gemini,omeprazole,recall,0.5
gemini,omeprazole,f1,0.6666666666666666
gemini,omeprazole,accuracy,0.9834558823529411
gemini,omeprazole,specificity,1.0
gemini,omeprazole,kappa,0.6591478696741842
llama,omeprazole,precision,1.0
llama,omeprazole,recall,0.1111111111111111
llama,omeprazole,f1,0.19999999999999998
llama,omeprazole,accuracy,0.9705882352941176
llama,omeprazole,specificity,1.0
llama,omeprazole,kappa,0.19467061435973335
BC-FuzzyEq,aspirin,precision,1.0
BC-FuzzyEq,aspirin,recall,0.02666666666666667
BC-FuzzyEq,aspirin,f1,0.05194805194805195
BC-FuzzyEq,aspirin,accuracy,0.8658088235294118
BC-FuzzyEq,aspirin,specificity,1.0
BC-FuzzyEq,aspirin,kappa,0.045109166105607626
BC-Curated,aspirin,precision,1.0
BC-Curated,aspirin,recall,1.0
BC-Curated,aspirin,f1,1.0
BC-Curated,aspirin,accuracy,1.0
BC-Curated,aspirin,specificity,1.0
