method,disease,metric,value
BC-FuzzyEq,diphtheria,precision,1.0
BC-FuzzyEq,diphtheria,recall,0.36363636363636365
BC-FuzzyEq,diphtheria,f1,0.5333333333333333
BC-FuzzyEq,diphtheria,accuracy,0.9860557768924303
BC-FuzzyEq,diphtheria,specificity,1.0
BC-FuzzyEq,diphtheria,kappa,0.5278151034668104
BC-Curated,diphtheria,precision,1.0
BC-Curated,diphtheria,recall,0.18181818181818182
BC-Curated,diphtheria,f1,0.3076923076923077
BC-Curated,diphtheria,accuracy,0.9820717131474104
BC-Curated,diphtheria,specificity,1.0
BC-Curated,diphtheria,kappa,0.30299290342486923
BC-EmbedEq,diphtheria,precision,1.0
BC-EmbedEq,diphtheria,recall,0.9090909090909091
BC-EmbedEq,diphtheria,f1,0.9523809523809523
BC-EmbedEq,diphtheria,accuracy,0.99800796812749
BC-EmbedEq,diphtheria,specificity,1.0
BC-EmbedEq,diphtheria,kappa,0.9513660143383066
BC-Final,diphtheria,precision,1.0
BC-Final,diphtheria,recall,1.0
BC-Final,diphtheria,f1,1.0
BC-Final,diphtheria,accuracy,1.0
BC-Final,diphtheria,specificity,1.0
BC-Final,diphtheria,kappa,1.0
gpt,diphtheria,precision,1.0
gpt,diphtheria,recall,0.6363636363636364
gpt,diphtheria,f1,0.7777777777777778
gpt,diphtheria,accuracy,0.9920318725099602
gpt,diphtheria,specificity,1.0
gpt,diphtheria,kappa,0.7739247917135783
grok,diphtheria,precision,1.0
grok,diphtheria,recall,0.7272727272727273
grok,diphtheria,f1,0.8421052631578948
grok,diphtheria,accuracy,0.9940239043824701
grok,diphtheria,specificity,1.0
grok,diphtheria,kappa,0.839136936552019
gemini,diphtheria,precision,1.0
gemini,diphtheria,recall,0.5454545454545454
gemini,diphtheria,f1,0.7058823529411764
gemini,diphtheria,accuracy,0.9900398406374502
gemini,diphtheria,specificity,1.0
gemini,diphtheria,kappa,0.7012616043799099
llama,diphtheria,precision,1.0
llama,diphtheria,recall,0.5454545454545454
llama,diphtheria,f1,0.7058823529411764
llama,diphtheria,accuracy,0.9900398406374502
llama,diphtheria,specificity,1.0
llama,diphtheria,kappa,0.7012616043799099
BC-FuzzyEq,rubella,precision,1.0
BC-FuzzyEq,rubella,recall,0.5
BC-FuzzyEq,rubella,f1,0.6666666666666666
BC-FuzzyEq,rubella,accuracy,0.9820717131474104
BC-FuzzyEq,rubella,specificity,1.0
BC-FuzzyEq,rubella,kappa,0.6585034013605444
BC-Curated,rubella,precision,1.0
BC-Curated,rubella,recall,0.1111111111111111
BC-Curated,rubella,f1,0.19999999999999998
BC-Curated,rubella,accuracy,0.9681274900398407
BC-Curated,rubella,specificity,1.0
BC-Curated,rubella,kappa,0.19422150882825207
BC-EmbedEq,rubella,precision,1.0
BC-EmbedEq,rubella,recall,1.0
BC-EmbedEq,rubella,f1,1.0
BC-EmbedEq,rubella,accuracy,1.0
BC-EmbedEq,rubella,specificity,1.0
BC-EmbedEq,rubella,kappa,1.0
BC-Final,rubella,precision,1.0
BC-Final,rubella,recall,1.0
BC-Final,rubella,f1,1.0
BC-Final,rubella,accuracy,1.0
BC-Final,rubella,specificity,1.0
BC-Final,rubella,kappa,1.0
gpt,rubella,precision,1.0
gpt,rubella,recall,0.3333333333333333
gpt,rubella,f1,0.5
gpt,rubella,accuracy,0.9760956175298805
gpt,rubella,specificity,1.0
gpt,rubella,kappa,0.4908722109533471
grok,rubella,precision,1.0
grok,rubella,recall,0.8888888888888888
grok,rubella,f1,0.9411764705882353
grok,rubella,accuracy,0.9960159362549801
grok,rubella,specificity,1.0
grok,rubella,kappa,0.9391219985447491
gemini,rubella,precision,1.0
gemini,rubella,recall,0.7777777777777778
gemini,rubella,f1,0.8750000000000001
gemini,rubella,accuracy,0.9920318725099602
gemini,rubella,specificity,1.0
gemini,rubella,kappa,0.8709511568123394
llama,rubella,precision,1.0
llama,rubella,recall,0.6666666666666666
llama,rubella,f1,0.8
llama,rubella,accuracy,0.9880478087649402
llama,rubella,specificity,1.0
llama,rubella,kappa,0.794093519278097
BC-FuzzyEq,multiple myeloma,precision,1.0
BC-FuzzyEq,multiple myeloma,recall,0.34615384615384615
BC-FuzzyEq,multiple myeloma,f1,0.5142857142857142
BC-FuzzyEq,multiple myeloma,accuracy,0.9661354581673307
BC-FuzzyEq,multiple myeloma,specificity,1.0
BC-FuzzyEq,multiple myeloma,kappa,0.5009940357852889
BC-Curated,multiple myeloma,precision,1.0
BC-Curated,multiple myeloma,recall,0.11538461538461539
BC-Curated,multiple myeloma,f1,0.20689655172413793
BC-Curated,multiple myeloma,accuracy,0.954183266932271
BC-Curated,multiple myeloma,specificity,1.0
BC-Curated,multiple myeloma,kappa,0.19830579086238118
BC-EmbedEq,multiple myeloma,precision,1.0
BC-EmbedEq,multiple myeloma,recall,0.7692307692307693
BC-EmbedEq,multiple myeloma,f1,0.8695652173913044
BC-EmbedEq,multiple myeloma,accuracy,0.9880478087649402
BC-EmbedEq,multiple myeloma,specificity,1.0
BC-EmbedEq,multiple myeloma,kappa,0.8634137493197896
BC-Final,multiple myeloma,precision,1.0
BC-Final,multiple myeloma,recall,0.7692307692307693
BC-Final,multiple myeloma,f1,0.8695652173913044
BC-Final,multiple myeloma,accuracy,0.9880478087649402
BC-Final,multiple myeloma,specificity,1.0
BC-Final,multiple myeloma,kappa,0.8634137493197896
gpt,multiple myeloma,precision,1.0
gpt,multiple myeloma,recall,0.4230769230769231
gpt,multiple myeloma,f1,0.5945945945945945
gpt,multiple myeloma,accuracy,0.9701195219123506
gpt,multiple myeloma,specificity,1.0
gpt,multiple myeloma,kappa,0.5817131429841133
grok,multiple myeloma,precision,1.0
grok,multiple myeloma,recall,0.19230769230769232
grok,multiple myeloma,f1,0.32258064516129037
grok,multiple myeloma,accuracy,0.9581673306772909
grok,multiple myeloma,specificity,1.0
grok,multiple myeloma,kappa,0.3110704483074112
gemini,multiple myeloma,precision,1.0
gemini,multiple myeloma,recall,0.6538461538461539
gemini,multiple myeloma,f1,0.7906976744186047
gemini,multiple myeloma,accuracy,0.9820717131474104
gemini,multiple myeloma,specificity,1.0
gemini,multiple myeloma,kappa,0.7817602164042123
llama,multiple myeloma,precision,1.0
llama,multiple myeloma,recall,0.23076923076923078
llama,multiple myeloma,f1,0.375
llama,multiple myeloma,accuracy,0.9601593625498008
llama,multiple myeloma,specificity,1.0
llama,multiple myeloma,kappa,0.36262061960386005
BC-FuzzyEq,iron deficiency anaemia,precision,1.0
BC-FuzzyEq,iron deficiency anaemia,recall,0.8
BC-FuzzyEq,iron deficiency anaemia,f1,0.888888888888889
BC-FuzzyEq,iron deficiency anaemia,accuracy,0.99800796812749
BC-FuzzyEq,iron deficiency anaemia,specificity,1.0
BC-FuzzyEq,iron deficiency anaemia,kappa,0.8878963823135326
BC-Curated,iron deficiency anaemia,precision,1.0
BC-Curated,iron deficiency anaemia,recall,0.2
BC-Curated,iron deficiency anaemia,f1,0.33333333333333337
BC-Curated,iron deficiency anaemia,accuracy,0.9920318725099602
BC-Curated,iron deficiency anaemia,specificity,1.0
BC-Curated,iron deficiency anaemia,kappa,0.33111259160559586
BC-EmbedEq,iron deficiency anaemia,precision,1.0
BC-EmbedEq,iron deficiency anaemia,recall,1.0
BC-EmbedEq,iron deficiency anaemia,f1,1.0
BC-EmbedEq,iron deficiency anaemia,accuracy,1.0
BC-EmbedEq,iron deficiency anaemia,specificity,1.0
