method,gene,metric,value
BC-FuzzyEq,gck,precision,1.0
BC-FuzzyEq,gck,recall,0.05
BC-FuzzyEq,gck,f1,0.09523809523809523
BC-FuzzyEq,gck,accuracy,0.929368029739777
BC-FuzzyEq,gck,specificity,1.0
BC-FuzzyEq,gck,kappa,0.08878587983597774
BC-Curated,gck,precision,1.0
BC-Curated,gck,recall,0.95
BC-Curated,gck,f1,0.9743589743589743
BC-Curated,gck,accuracy,0.9962825278810409
BC-Curated,gck,specificity,1.0
BC-Curated,gck,kappa,0.9723563868050559
BC-EmbedEq,gck,precision,1.0
BC-EmbedEq,gck,recall,0.3
BC-EmbedEq,gck,f1,0.4615384615384615
BC-EmbedEq,gck,accuracy,0.9479553903345725
BC-EmbedEq,gck,specificity,1.0
BC-EmbedEq,gck,kappa,0.44240450103642337
BC-Final,gck,precision,1.0
BC-Final,gck,recall,0.95
BC-Final,gck,f1,0.9743589743589743
BC-Final,gck,accuracy,0.9962825278810409
BC-Final,gck,specificity,1.0
BC-Final,gck,kappa,0.9723563868050559
gpt,gck,precision,1.0
gpt,gck,recall,0.1
gpt,gck,f1,0.18181818181818182
gpt,gck,accuracy,0.9330855018587361
gpt,gck,specificity,1.0
gpt,gck,kappa,0.17060637204522075
grok,gck,precision,1.0
grok,gck,recall,0.7
grok,gck,f1,0.8235294117647058
grok,gck,accuracy,0.9776951672862454
grok,gck,specificity,1.0
grok,gck,kappa,0.8120195667365482
gemini,gck,precision,1.0
gemini,gck,recall,0.65
gemini,gck,f1,0.787878787878788
gemini,gck,accuracy,0.9739776951672863
gemini,gck,specificity,1.0
gemini,gck,kappa,0.7746799090582748
llama,gck,precision,1.0
llama,gck,recall,0.4
llama,gck,f1,0.5714285714285715
llama,gck,accuracy,0.9553903345724907
llama,gck,specificity,1.0
llama,gck,kappa,0.5524126455906821
BC-FuzzyEq,aire,precision,1.0
BC-FuzzyEq,aire,recall,0.1
BC-FuzzyEq,aire,f1,0.18181818181818182
BC-FuzzyEq,aire,accuracy,0.966542750929368
BC-FuzzyEq,aire,specificity,1.0
BC-FuzzyEq,aire,kappa,0.17625042531473303
BC-Curated,aire,precision,1.0
BC-Curated,aire,recall,0.9
BC-Curated,aire,f1,0.9473684210526316
BC-Curated,aire,accuracy,0.9962825278810409
BC-Curated,aire,specificity,1.0
BC-Curated,aire,kappa,0.9454471709592372
BC-EmbedEq,aire,precision,1.0
BC-EmbedEq,aire,recall,0.4
BC-EmbedEq,aire,f1,0.5714285714285715
BC-EmbedEq,aire,accuracy,0.9776951672862454
BC-EmbedEq,aire,specificity,1.0
BC-EmbedEq,aire,kappa,0.5621269669017912
BC-Final,aire,precision,1.0
BC-Final,aire,recall,1.0
BC-Final,aire,f1,1.0
BC-Final,aire,accuracy,1.0
BC-Final,aire,specificity,1.0
BC-Final,aire,kappa,1.0
gpt,aire,precision,1.0
gpt,aire,recall,0.1
gpt,aire,f1,0.18181818181818182
gpt,aire,accuracy,0.966542750929368
gpt,aire,specificity,1.0
gpt,aire,kappa,0.17625042531473303
grok,aire,precision,1.0
grok,aire,recall,0.9
grok,aire,f1,0.9473684210526316
grok,aire,accuracy,0.9962825278810409
grok,aire,specificity,1.0
grok,aire,kappa,0.9454471709592372
gemini,aire,precision,1.0
gemini,aire,recall,0.6
gemini,aire,f1,0.7499999999999999
gemini,aire,accuracy,0.9851301115241635
gemini,aire,specificity,1.0
gemini,aire,kappa,0.742829827915869
llama,aire,precision,1.0
llama,aire,recall,0.7
llama,aire,f1,0.8235294117647058
llama,aire,accuracy,0.9888475836431226
llama,aire,specificity,1.0
llama,aire,kappa,0.8179562373110754
BC-FuzzyEq,egfr,precision,1.0
BC-FuzzyEq,egfr,recall,0.10526315789473684
BC-FuzzyEq,egfr,f1,0.1904761904761905
BC-FuzzyEq,egfr,accuracy,0.9368029739776952
BC-FuzzyEq,egfr,specificity,1.0
BC-FuzzyEq,egfr,kappa,0.1794365691727975
