entity,method,precision,recall,f1,specificity,Domain
Omeprazole,BC-FuzzyEq,1.0,0.3157894736842105,0.4799999999999999,0.0,Drug
Omeprazole,BC-EmbedEq,1.0,0.3157894736842105,0.4799999999999999,0.0,Drug
Omeprazole,BC-Curated,1.0,0.9473684210526315,0.972972972972973,0.0,Drug
Omeprazole,BC-Final,1.0,0.9473684210526315,0.972972972972973,0.0,Drug
Omeprazole,gpt,1.0,0.10526315789473684,0.1904761904761905,0.0,Drug
Omeprazole,grok,1.0,0.6842105263157895,0.8125000000000001,0.0,Drug
Omeprazole,gemini,1.0,0.5789473684210527,0.7333333333333334,0.0,Drug
Omeprazole,llama,1.0,0.47368421052631576,0.6428571428571429,0.0,Drug
Aspirin,BC-FuzzyEq,1.0,0.013157894736842105,0.025974025974025976,1.0,Drug
Aspirin,BC-EmbedEq,1.0,0.17105263157894737,0.29213483146067415,1.0,Drug
Aspirin,BC-Curated,1.0,0.9868421052631579,0.9933774834437086,1.0,Drug
Aspirin,BC-Final,1.0,0.9868421052631579,0.9933774834437086,1.0,Drug
Aspirin,gpt,1.0,0.47368421052631576,0.6428571428571429,1.0,Drug
Aspirin,grok,0.9767441860465116,0.5526315789473685,0.7058823529411765,0.75,Drug
Aspirin,gemini,0.88,0.2894736842105263,0.4356435643564356,0.25,Drug
Aspirin,llama,1.0,0.4605263157894737,0.6306306306306306,1.0,Drug
Simvastatin,BC-FuzzyEq,1.0,0.3684210526315789,0.5384615384615384,0.0,Drug
Simvastatin,BC-EmbedEq,1.0,0.3684210526315789,0.5384615384615384,0.0,Drug
Simvastatin,BC-Curated,1.0,0.9473684210526315,0.972972972972973,0.0,Drug
Simvastatin,BC-Final,1.0,0.9473684210526315,0.972972972972973,0.0,Drug
Simvastatin,gpt,1.0,0.3157894736842105,0.4799999999999999,0.0,Drug
Simvastatin,grok,1.0,0.5789473684210527,0.7333333333333334,0.0,Drug
Simvastatin,gemini,1.0,0.47368421052631576,0.6428571428571429,0.0,Drug
Simvastatin,llama,1.0,0.3157894736842105,0.4799999999999999,0.0,Drug
Hydrocortisone,BC-FuzzyEq,1.0,0.02586206896551724,0.050420168067226885,1.0,Drug
Hydrocortisone,BC-EmbedEq,0.9565217391304348,0.1896551724137931,0.31654676258992803,0.9565217391304348,Drug
Hydrocortisone,BC-Curated,1.0,0.9827586206896551,0.9913043478260869,1.0,Drug
Hydrocortisone,BC-Final,1.0,0.9827586206896551,0.9913043478260869,1.0,Drug
Hydrocortisone,gpt,1.0,0.13793103448275862,0.2424242424242424,1.0,Drug
Hydrocortisone,grok,0.6818181818181818,0.12931034482758622,0.2173913043478261,0.6956521739130435,Drug
Hydrocortisone,gemini,0.574468085106383,0.23275862068965517,0.33128834355828224,0.13043478260869565,Drug
Hydrocortisone,llama,0.9130434782608695,0.1810344827586207,0.302158273381295,0.9130434782608695,Drug
Levonorgestrel,BC-FuzzyEq,1.0,0.5294117647058824,0.6923076923076924,0.0,Drug
Levonorgestrel,BC-EmbedEq,1.0,0.5735294117647058,0.7289719626168224,0.0,Drug
Levonorgestrel,BC-Curated,1.0,0.9852941176470589,0.9925925925925926,0.0,Drug
Levonorgestrel,BC-Final,1.0,0.9852941176470589,0.9925925925925926,0.0,Drug
Levonorgestrel,gpt,1.0,0.5,0.6666666666666666,0.0,Drug
Levonorgestrel,grok,1.0,0.7205882352941176,0.8376068376068375,0.0,Drug
Levonorgestrel,gemini,1.0,0.4411764705882353,0.6122448979591837,0.0,Drug
Levonorgestrel,llama,1.0,0.35294117647058826,0.5217391304347826,0.0,Drug
Prednisolone,BC-FuzzyEq,1.0,0.08,0.14814814814814814,1.0,Drug
Prednisolone,BC-EmbedEq,0.7142857142857143,0.2,0.3125,0.9879518072289156,Drug
Prednisolone,BC-Curated,1.0,0.96,0.9795918367346939,1.0,Drug
Prednisolone,BC-Final,1.0,0.96,0.9795918367346939,1.0,Drug
Prednisolone,gpt,1.0,0.12,0.21428571428571425,1.0,Drug
Prednisolone,grok,0.8461538461538461,0.44,0.5789473684210525,0.9879518072289156,Drug
Prednisolone,gemini,0.05202312138728324,0.36,0.09090909090909091,0.012048192771084338,Drug
Prednisolone,llama,1.0,0.12,0.21428571428571425,1.0,Drug
Ciprofloxacin,BC-FuzzyEq,1.0,0.3125,0.47619047619047616,1.0,Drug
Ciprofloxacin,BC-EmbedEq,1.0,0.3125,0.47619047619047616,1.0,Drug
Ciprofloxacin,BC-Curated,1.0,0.9375,0.967741935483871,1.0,Drug
Ciprofloxacin,BC-Final,1.0,0.9375,0.967741935483871,1.0,Drug
Ciprofloxacin,gpt,1.0,0.1875,0.3157894736842105,1.0,Drug
Ciprofloxacin,grok,1.0,0.3125,0.47619047619047616,1.0,Drug
Ciprofloxacin,gemini,0.8,0.25,0.38095238095238093,0.0,Drug
Ciprofloxacin,llama,1.0,0.1875,0.3157894736842105,1.0,Drug
Methotrexate,BC-FuzzyEq,1.0,0.26666666666666666,0.4210526315789474,1.0,Drug
Methotrexate,BC-EmbedEq,1.0,0.5333333333333333,0.6956521739130436,1.0,Drug
Methotrexate,BC-Curated,1.0,0.9666666666666667,0.983050847457627,1.0,Drug
Methotrexate,BC-Final,1.0,0.9666666666666667,0.983050847457627,1.0,Drug
Methotrexate,gpt,1.0,0.16666666666666666,0.2857142857142857,1.0,Drug
Methotrexate,grok,0.9411764705882353,0.5333333333333333,0.6808510638297872,0.0,Drug
Methotrexate,gemini,1.0,0.5,0.6666666666666666,1.0,Drug
Methotrexate,llama,1.0,0.3333333333333333,0.5,1.0,Drug
Denosumab,BC-FuzzyEq,1.0,0.23076923076923078,0.375,1.0,Drug
Denosumab,BC-EmbedEq,1.0,0.46153846153846156,0.631578947368421,1.0,Drug
Denosumab,BC-Curated,1.0,0.9230769230769231,0.9600000000000001,1.0,Drug
Denosumab,BC-Final,1.0,0.9230769230769231,0.9600000000000001,1.0,Drug
Denosumab,gpt,1.0,0.34615384615384615,0.5142857142857142,1.0,Drug
Denosumab,grok,1.0,0.5769230769230769,0.7317073170731707,1.0,Drug
Denosumab,gemini,0.8571428571428571,0.46153846153846156,0.6,0.0,Drug
Denosumab,llama,1.0,0.34615384615384615,0.5142857142857142,1.0,Drug
Diazepam,BC-FuzzyEq,1.0,0.06666666666666667,0.125,1.0,Drug
Diazepam,BC-EmbedEq,0.8333333333333334,0.2222222222222222,0.3508771929824561,0.0,Drug
Diazepam,BC-Curated,1.0,0.9555555555555556,0.9772727272727273,1.0,Drug
Diazepam,BC-Final,1.0,0.9555555555555556,0.9772727272727273,1.0,Drug
Diazepam,gpt,1.0,0.08888888888888889,0.163265306122449,1.0,Drug
Diazepam,grok,1.0,0.4666666666666667,0.6363636363636364,1.0,Drug
Diazepam,gemini,1.0,0.35555555555555557,0.5245901639344263,1.0,Drug
Diazepam,llama,1.0,0.17777777777777778,0.3018867924528302,1.0,Drug
Ivermectin,BC-FuzzyEq,1.0,0.14893617021276595,0.25925925925925924,1.0,Drug
Ivermectin,BC-EmbedEq,1.0,0.5319148936170213,0.6944444444444444,1.0,Drug
Ivermectin,BC-Curated,1.0,0.9787234042553191,0.989247311827957,1.0,Drug
Ivermectin,BC-Final,1.0,0.9787234042553191,0.989247311827957,1.0,Drug
Ivermectin,gpt,1.0,0.1702127659574468,0.2909090909090909,1.0,Drug
Ivermectin,grok,1.0,0.5319148936170213,0.6944444444444444,1.0,Drug
Ivermectin,gemini,0.08670520231213873,0.9574468085106383,0.15901060070671377,0.0,Drug
Ivermectin,llama,1.0,0.2127659574468085,0.3508771929824561,1.0,Drug
Salbutamol,BC-FuzzyEq,1.0,0.05,0.09523809523809523,0.0,Drug
Salbutamol,BC-EmbedEq,1.0,0.225,0.36734693877551017,0.0,Drug
Salbutamol,BC-Curated,1.0,0.9,0.9473684210526316,0.0,Drug
Salbutamol,BC-Final,1.0,0.9,0.9473684210526316,0.0,Drug
Salbutamol,gpt,1.0,0.2,0.33333333333333337,0.0,Drug
Salbutamol,grok,1.0,0.575,0.7301587301587301,0.0,Drug
Salbutamol,gemini,1.0,0.45,0.6206896551724138,0.0,Drug
Salbutamol,llama,1.0,0.35,0.5185185185185185,0.0,Drug
Latanoprost,BC-FuzzyEq,1.0,0.25,0.4,0.0,Drug
Latanoprost,BC-EmbedEq,1.0,0.25,0.4,0.0,Drug
