gene_symbol,gene_full_name
A1BG,alpha-1-B glycoprotein
A2M,alpha-2-macroglobulin
AADAC,arylacetamide deacetylase
AADACL2,arylacetamide deacetylase like 2
AADAT,aminoadipate aminotransferase
AAK1,AP2 associated kinase 1
AAMP,angio associated migratory cell protein
AANAT,aralkylamine N-acetyltransferase
AARS1,alanyl-tRNA synthetase 1
AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
AASS,aminoadipate-semialdehyde synthase
ABAT,4-aminobutyrate aminotransferase
ABCA1,ATP binding cassette subfamily A member 1
ABCA2,ATP binding cassette subfamily A member 2
ABCA3,ATP binding cassette subfamily A member 3
ABCA4,ATP binding cassette subfamily A member 4
ABCA5,ATP binding cassette subfamily A member 5
ABCB1,ATP binding cassette subfamily B member 1
ABCB11,ATP binding cassette subfamily B member 11
ABCB4,ATP binding cassette subfamily B member 4
ABCB5,ATP binding cassette subfamily B member 5
ABCB7,ATP binding cassette subfamily B member 7
ABCB8,ATP binding cassette subfamily B member 8
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group)
ABCC10,ATP binding cassette subfamily C member 10
ABCC11,ATP binding cassette subfamily C member 11
ABCC2,ATP binding cassette subfamily C member 2
ABCC3,ATP binding cassette subfamily C member 3
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group)
ABCC5,ATP binding cassette subfamily C member 5
ABCC6,ATP binding cassette subfamily C member 6
ABCC8,ATP binding cassette subfamily C member 8
ABCC9,ATP binding cassette subfamily C member 9
ABCD1,ATP binding cassette subfamily D member 1
ABCD2,ATP binding cassette subfamily D member 2
ABCF1,ATP binding cassette subfamily F member 1
ABCG1,ATP binding cassette subfamily G member 1
ABCG2,ATP binding cassette subfamily G member 2 (JR blood group)
ABCG5,ATP binding cassette subfamily G member 5
ABCG8,ATP binding cassette subfamily G member 8
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
ABHD16A,"abhydrolase domain containing 16A, phospholipase"
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase"
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ABR,ABR activator of RhoGEF and GTPase
ACAA1,acetyl-CoA acyltransferase 1
ACAA2,acetyl-CoA acyltransferase 2
ACACA,acetyl-CoA carboxylase alpha
ACACB,acetyl-CoA carboxylase beta
ACAD10,acyl-CoA dehydrogenase family member 10
ACAD11,acyl-CoA dehydrogenase family member 11
ACAD8,acyl-CoA dehydrogenase family member 8
ACADM,acyl-CoA dehydrogenase medium chain
ACADS,acyl-CoA dehydrogenase short chain
ACADSB,acyl-CoA dehydrogenase short/branched chain
ACADVL,acyl-CoA dehydrogenase very long chain
ACAN,aggrecan
ACAT1,acetyl-CoA acetyltransferase 1
ACAT2,acetyl-CoA acetyltransferase 2
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACE,angiotensin I converting enzyme
ACE2,angiotensin converting enzyme 2
ACER2,alkaline ceramidase 2
ACHE,acetylcholinesterase (Yt blood group)
ACKR3,atypical chemokine receptor 3
ACLY,ATP citrate lyase
ACMSD,aminocarboxymuconate semialdehyde decarboxylase
ACO1,aconitase 1
ACO2,aconitase 2
ACOT13,acyl-CoA thioesterase 13
ACOX1,acyl-CoA oxidase 1
ACOX3,"acyl-CoA oxidase 3, pristanoyl"
ACP1,acid phosphatase 1
ACP3,acid phosphatase 3
ACP5,"acid phosphatase 5, tartrate resistant"
ACR,acrosin
ACRV1,acrosomal vesicle protein 1
ACSBG1,acyl-CoA synthetase bubblegum family member 1
ACSL1,acyl-CoA synthetase long chain family member 1
ACSL3,acyl-CoA synthetase long chain family member 3
ACSL4,acyl-CoA synthetase long chain family member 4
ACSL5,acyl-CoA synthetase long chain family member 5
ACSL6,acyl-CoA synthetase long chain family member 6
ACSS1,acyl-CoA synthetase short chain family member 1
ACSS2,acyl-CoA synthetase short chain family member 2
ACTA1,"actin alpha 1, skeletal muscle"
ACTA2,"actin alpha 2, smooth muscle"
ACTB,actin beta
ACTC1,actin alpha cardiac muscle 1
ACTG1,actin gamma 1
ACTL6A,actin like 6A
ACTN1,actinin alpha 1
ACTN2,actinin alpha 2
ACTN3,actinin alpha 3
ACTN4,actinin alpha 4
ACTR2,actin related protein 2
ACTR3,actin related protein 3
ACVR1,activin A receptor type 1
ACVR1B,activin A receptor type 1B
ACVR1C,activin A receptor type 1C
ACVR2A,activin A receptor type 2A
ACVR2B,activin A receptor type 2B
ACVRL1,activin A receptor like type 1
ACY1,aminoacylase 1
ACY3,aminoacylase 3
ACYP2,acylphosphatase 2
ADA,adenosine deaminase
ADAM10,ADAM metallopeptidase domain 10
ADAM12,ADAM metallopeptidase domain 12
ADAM17,ADAM metallopeptidase domain 17
ADAM28,ADAM metallopeptidase domain 28
ADAM33,ADAM metallopeptidase domain 33
ADAM3A,ADAM metallopeptidase domain 3A (pseudogene)
ADAM8,ADAM metallopeptidase domain 8
ADAM9,ADAM metallopeptidase domain 9
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTSL2,ADAMTS like 2
ADAR,adenosine deaminase RNA specific
ADARB1,adenosine deaminase RNA specific B1
ADARB2,adenosine deaminase RNA specific B2 (inactive)
ADCK1,aarF domain containing kinase 1
ADCK5,aarF domain containing kinase 5
ADCY1,adenylate cyclase 1
ADCY10,adenylate cyclase 10
ADCY2,adenylate cyclase 2
ADCY3,adenylate cyclase 3
ADCY5,adenylate cyclase 5
ADCY6,adenylate cyclase 6
ADCY8,adenylate cyclase 8
ADCY9,adenylate cyclase 9
ADCYAP1,adenylate cyclase activating polypeptide 1
ADCYAP1R1,ADCYAP receptor type I
ADD1,adducin 1
ADD3,adducin 3
ADGRB1,adhesion G protein-coupled receptor B1
ADGRB2,adhesion G protein-coupled receptor B2
ADGRD1,adhesion G protein-coupled receptor D1
ADGRE1,adhesion G protein-coupled receptor E1
ADGRE2,adhesion G protein-coupled receptor E2
ADGRG3,adhesion G protein-coupled receptor G3
ADGRG7,adhesion G protein-coupled receptor G7
ADGRL3,adhesion G protein-coupled receptor L3
ADGRV1,adhesion G protein-coupled receptor V1
ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH6,alcohol dehydrogenase 6 (class V)
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1,alcohol dehydrogenase iron containing 1
ADIPOQ,"adiponectin, C1Q and collagen domain containing"
ADIPOR1,adiponectin receptor 1
ADIPOR2,adiponectin receptor 2
ADK,adenosine kinase
ADM,adrenomedullin
ADM2,adrenomedullin 2
ADO,2-aminoethanethiol dioxygenase
ADORA1,adenosine A1 receptor
ADORA2A,adenosine A2a receptor
ADORA2B,adenosine A2b receptor
ADORA3,adenosine A3 receptor
ADRA1A,adrenoceptor alpha 1A
ADRA1B,adrenoceptor alpha 1B
ADRA1D,adrenoceptor alpha 1D
ADRA2A,adrenoceptor alpha 2A
ADRA2B,adrenoceptor alpha 2B
ADRA2C,adrenoceptor alpha 2C
ADRB1,adrenoceptor beta 1
ADRB2,adrenoceptor beta 2
ADRB3,adrenoceptor beta 3
ADRM1,ADRM1 26S proteasome ubiquitin receptor
ADSS1,adenylosuccinate synthase 1
ADSS2,adenylosuccinate synthase 2
AEBP1,AE binding protein 1
AEBP2,AE binding protein 2
AFDN,"afadin, adherens junction formation factor"
AFF2,ALF transcription elongation factor 2
AFG2A,AAA ATPase AFG2A
AFG3L2,AFG3 like matrix AAA peptidase subunit 2
AFM,afamin
AFP,alpha fetoprotein
AGA,aspartylglucosaminidase
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
AGBL2,AGBL carboxypeptidase 2
AGBL4,AGBL carboxypeptidase 4
AGER,advanced glycosylation end-product specific receptor
AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
AGO2,argonaute RISC catalytic component 2
AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2
AGT,angiotensinogen
AGTR1,angiotensin II receptor type 1
AGTR2,angiotensin II receptor type 2
AGXT,alanine--glyoxylate aminotransferase
AGXT2,alanine--glyoxylate aminotransferase 2
AHCY,adenosylhomocysteinase
AHCYL1,adenosylhomocysteinase like 1
AHR,aryl hydrocarbon receptor
AHRR,aryl hydrocarbon receptor repressor
AHSG,alpha 2-HS glycoprotein
AHSP,alpha hemoglobin stabilizing protein
AIFM1,apoptosis inducing factor mitochondria associated 1
AIFM2,"AIF family member 2, ferroptosis suppressor"
AIMP2,aminoacyl tRNA synthetase complex interacting multifunctional protein 2
AIP,AHR interacting HSP90 co-chaperone
AIRE,autoimmune regulator
AK1,adenylate kinase 1
AK2,adenylate kinase 2
AK4,adenylate kinase 4
AK8,adenylate kinase 8
AKAP13,A-kinase anchoring protein 13
AKR1A1,aldo-keto reductase family 1 member A1
AKR1B1,aldo-keto reductase family 1 member B
AKR1B10,aldo-keto reductase family 1 member B10
AKR1B15,aldo-keto reductase family 1 member B15
AKR1C1,aldo-keto reductase family 1 member C1
AKR1C2,aldo-keto reductase family 1 member C2
AKR1C3,aldo-keto reductase family 1 member C3
AKR1C4,aldo-keto reductase family 1 member C4
AKR1D1,aldo-keto reductase family 1 member D1
AKR1E2,aldo-keto reductase family 1 member E2
AKR7A2,aldo-keto reductase family 7 member A2
AKT1,AKT serine/threonine kinase 1
AKT1S1,AKT1 substrate 1
AKT2,AKT serine/threonine kinase 2
AKT3,AKT serine/threonine kinase 3
ALAD,aminolevulinate dehydratase
ALAS1,5'-aminolevulinate synthase 1
ALAS2,5'-aminolevulinate synthase 2
ALB,albumin
ALCAM,activated leukocyte cell adhesion molecule
ALDH18A1,aldehyde dehydrogenase 18 family member A1
ALDH1A1,aldehyde dehydrogenase 1 family member A1
ALDH1A2,aldehyde dehydrogenase 1 family member A2
ALDH1A3,aldehyde dehydrogenase 1 family member A3
ALDH1B1,aldehyde dehydrogenase 1 family member B1
ALDH1L1,aldehyde dehydrogenase 1 family member L1
ALDH2,aldehyde dehydrogenase 2 family member
ALDH3A1,aldehyde dehydrogenase 3 family member A1
ALDH3A2,aldehyde dehydrogenase 3 family member A2
ALDH3B1,aldehyde dehydrogenase 3 family member B1
ALDH3B2,aldehyde dehydrogenase 3 family member B2
ALDH4A1,aldehyde dehydrogenase 4 family member A1
ALDH5A1,aldehyde dehydrogenase 5 family member A1
ALDH6A1,aldehyde dehydrogenase 6 family member A1
ALDH7A1,aldehyde dehydrogenase 7 family member A1
ALDH9A1,aldehyde dehydrogenase 9 family member A1
ALDOA,"aldolase, fructose-bisphosphate A"
ALDOB,"aldolase, fructose-bisphosphate B"
ALG10,"ALG10 alpha-1,2-glucosyltransferase"
ALK,ALK receptor tyrosine kinase
ALKBH2,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase"
ALKBH3,"alkB homolog 3, alpha-ketoglutarate dependent dioxygenase"
ALKBH5,"alkB homolog 5, RNA demethylase"
ALOX12,"arachidonate 12-lipoxygenase, 12S type"
ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
ALOX15,arachidonate 15-lipoxygenase
ALOX15B,arachidonate 15-lipoxygenase type B
ALOX5,arachidonate 5-lipoxygenase
ALOX5AP,arachidonate 5-lipoxygenase activating protein
ALPG,"alkaline phosphatase, germ cell"
ALPI,"alkaline phosphatase, intestinal"
ALPK1,alpha kinase 1
ALPL,"alkaline phosphatase, biomineralization associated"
